_EST_NORM,n,codigos,ejemplos
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,493,"['00-07-0007-46', '00-12-0149-46', '00-13-0008-46', '00-18-0186-46', '00-21-0007-46', '00-21-0056-46', '00-21-0087-46', '01-02-0022-46', '01-02-0038-46', '01-02-0039-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA']
CENTRO DE EDUCACION EXTRAESCOLAR CEEX,66,"['00-01-0696-46', '00-02-0117-46', '00-07-0139-46', '00-07-0141-46', '08-05-0149-46', '11-02-0048-46', '12-01-0174-46', '12-01-0178-46', '12-02-0196-46', '12-07-0220-46']",['CENTRO DE EDUCACION EXTRAESCOLAR CEEX']
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSENANZA,48,"['01-04-9816-46', '05-01-0184-46', '05-01-0271-46', '05-01-0411-46', '05-03-2470-46', '05-13-0062-46', '06-06-0025-46', '06-06-0026-46', '06-08-0083-46', '06-09-0046-46']",['INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSENANZA']
INSTITUTO DIVERSIFICADO POR COOPERATIVA,35,"['01-12-0004-46', '02-01-0607-46', '02-02-0014-46', '02-02-0613-46', '02-05-0664-46', '02-08-0535-46', '03-03-1028-46', '08-05-0152-46', '10-09-0018-46', '11-06-1409-46']",['INSTITUTO DIVERSIFICADO POR COOPERATIVA']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED,33,"['07-12-0007-46', '11-02-0015-46', '11-03-0020-46', '14-19-0055-46', '17-05-0298-46', '17-05-0332-46', '17-10-0256-46', '17-14-0034-46', '17-14-0089-46', '18-01-0317-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED']
PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA PRONEA,30,"['00-02-0111-46', '00-09-0016-46', '00-12-0119-46', '00-13-0047-46', '01-08-0722-46', '02-01-0061-46', '03-01-0219-46', '04-01-0305-46', '05-01-0402-46', '05-09-0106-46']",['PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA PRONEA']
INSTITUTO DE COMPUTACION INFORMATICA,29,"['03-01-0257-46', '03-01-1150-46', '03-01-1151-46', '03-01-1152-46', '03-01-1158-46', '03-01-1293-46', '05-01-2567-46', '05-01-2569-46', '05-02-0041-46', '05-07-0040-46']",['INSTITUTO DE COMPUTACION INFORMATICA']
ESCUELA NORMAL DE EDUCACION FISICA,27,"['02-01-0665-46', '03-01-1231-46', '03-02-1106-46', '04-01-0093-46', '04-16-2787-46', '05-01-2511-46', '07-01-2767-46', '08-01-2230-46', '09-01-0529-46', '09-01-0899-46']",['ESCUELA NORMAL DE EDUCACION FISICA']
ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA AMERG,26,"['13-01-6790-46', '13-03-0055-46', '13-03-0059-46', '13-07-0036-46', '13-07-0045-46', '13-08-0043-46', '13-08-6889-46', '13-12-6888-46', '13-17-0051-46', '13-17-0056-46']",['ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA AMERG']
LICEO SAN JOSE,23,"['02-03-0102-46', '04-02-0025-46', '04-02-0026-46', '05-09-0041-46', '10-05-0019-46', '10-05-0024-46', '10-05-0028-46', '12-04-0118-46', '12-04-0119-46', '12-04-0120-46']",['LICEO SAN JOSE']
