CODIGO,ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,TELEFONO
00-01-0168-46,INSTITUTO DE EDUCACION DIVERSIFICADA LICEO MARIANO GALVEZ,CIUDAD CAPITAL,ZONA 1,
00-01-0185-46,INSTITUTO PRIVADO PARA SENORITAS DE EDUCACION DIVERSIFICADA ACADEMIA PRACTICA COMERCIAL,CIUDAD CAPITAL,ZONA 1,
00-01-0188-46,COLEGIO VOCACIONAL GUATEMALTECO MENTES SANAS,CIUDAD CAPITAL,ZONA 1,
00-01-0189-46,INSTITUTO FEDERICO CROWE,CIUDAD CAPITAL,ZONA 1,
00-01-0260-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO PRE UNIVERSITARIO CATOLICO DE GUATEMALA,CIUDAD CAPITAL,ZONA 1,
00-01-0263-46,INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ PRACTICA COMERCIAL,CIUDAD CAPITAL,ZONA 1,
00-01-0271-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA PRIMERA ESCUELA NOCTURNA JORGE VICTOR JUAREZ GARCIA,CIUDAD CAPITAL,ZONA 1,
00-01-0277-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ACADEMIA PRACTICA COMERCIAL BACHILLERATO POR MADUREZ,CIUDAD CAPITAL,ZONA 1,
00-01-0295-46,INSTITUTO MIXTO PRIVADO JOHN F KENNEDY,CIUDAD CAPITAL,ZONA 1,
00-01-0297-46,COLEGIO MIXTO BILINGUE ANGLO HISPANO,CIUDAD CAPITAL,ZONA 1,
00-01-0298-46,INSTITUTO MIXTO DE COMPUTACION LEONARDO DE PISA,CIUDAD CAPITAL,ZONA 1,
00-01-0299-46,INSTITUTO MIXTO DE COMPUTACION LEONARDO DE PISA,CIUDAD CAPITAL,ZONA 1,
00-01-0300-46,INSTITUTO DE SENORITAS EL ROSARIO,CIUDAD CAPITAL,ZONA 1,
00-01-0301-46,INSTITUTO MIXTO VESPERTINO RAFAEL LANDIVAR,CIUDAD CAPITAL,ZONA 1,
00-01-0302-46,,CIUDAD CAPITAL,ZONA 1,
00-01-0303-46,INSTITUTO MIXTO VESPERTINO RAFAEL LANDIVAR,CIUDAD CAPITAL,ZONA 1,
00-01-0311-46,COLEGIO SAN JOSE DEL VALLE DE GUATEMALA,CIUDAD CAPITAL,ZONA 1,
00-01-0312-46,COLEGIO NACIONAL AMERICANO,CIUDAD CAPITAL,ZONA 1,
00-01-0313-46,INSTITUTO DE EDUCACION MEDIA A E U CENTRAL,CIUDAD CAPITAL,ZONA 1,
00-01-0314-46,INSTITUTO PRIVADO TECNICO AMERICANO,CIUDAD CAPITAL,ZONA 1,
00-01-0315-46,COLEGIO KEPLER,CIUDAD CAPITAL,ZONA 1,
00-01-0328-46,COLEGIO TECNICO EN COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-0329-46,COLEGIO MIXTO DIURNO NOCTURNO LA ENSENANZA,CIUDAD CAPITAL,ZONA 1,
00-01-0330-46,COLEGIO SUPERIOR GUATEMALTECO,CIUDAD CAPITAL,ZONA 1,
00-01-0331-46,ESCUELA SISTEMATIZADA EN COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-0333-46,INSTITUTO INDIGENA NUESTRA SENORA DEL SOCORRO,CIUDAD CAPITAL,ZONA 1,
00-01-0334-46,COLEGIO INGLES AMERICANO,CIUDAD CAPITAL,ZONA 1,
00-01-0337-46,COLEGIO PARA ADULTOS AHALCAB,CIUDAD CAPITAL,ZONA 1,
00-01-0338-46,COLEGIO JEFFERSON,CIUDAD CAPITAL,ZONA 1,
00-01-0352-46,COLEGIO RAMA ADULTA GUATEMALTECA DE DESEO ESTUDIANTIL R A G D E,CIUDAD CAPITAL,ZONA 1,
00-01-0358-46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,CIUDAD CAPITAL,ZONA 1,
00-01-0370-46,INSTITUTO MIXTO RAFAEL LANDIVAR Y CABALLERO,CIUDAD CAPITAL,ZONA 1,
00-01-0371-46,COLEGIO INTERNACIONAL AMERICANO,CIUDAD CAPITAL,ZONA 1,
00-01-0372-46,INSTITUTO PRIVADO MIXTO NOCTURNO RAFAEL LANDIVAR,CIUDAD CAPITAL,ZONA 1,
00-01-0378-46,COLEGIO MIXTO BROWNS,CIUDAD CAPITAL,ZONA 1,
00-01-0385-46,COLEGIO DE INNOVACION TECNOLOGICA EDUCATIVA C I T E,CIUDAD CAPITAL,ZONA 1,
00-01-0393-46,COLEGIO ABRAHAM LINCOLN,CIUDAD CAPITAL,ZONA 1,
00-01-0394-46,COLEGIO ABRAHAM LINCOLN,CIUDAD CAPITAL,ZONA 1,
00-01-0404-46,COLEGIO SECRETARIAL GUATEMALTECO,CIUDAD CAPITAL,ZONA 1,
00-01-0405-46,COLEGIO BROWNS,CIUDAD CAPITAL,ZONA 1,
00-01-0420-46,LICEO APLICADO EN COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-0421-46,INSTITUTO CULTURAL AMERICANO,CIUDAD CAPITAL,ZONA 1,
00-01-0422-46,COLEGIO SANTO DOMINGO,CIUDAD CAPITAL,ZONA 1,
00-01-0423-46,INSTITUTO CENTROAMERICANO DE MERCADOTECNIA Y PUBLICIDAD,CIUDAD CAPITAL,ZONA 1,
00-01-0427-46,INSTITUTO CIENTIFICO COMERCIAL EN COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-0443-46,INSTITUTO MIXTO NOCTURNO JOSE MARTI,CIUDAD CAPITAL,ZONA 1,
00-01-0444-46,INSTITUTO AMERICA,CIUDAD CAPITAL,ZONA 1,
00-01-0445-46,COLEGIO LICEO PEDRO PABLO VALDEZ,CIUDAD CAPITAL,ZONA 1,
00-01-0446-46,INSTITUTO BILINGUE ANGLOAMERICANO,CIUDAD CAPITAL,ZONA 1,
00-01-0447-46,CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS,CIUDAD CAPITAL,ZONA 1,
00-01-0481-46,COLEGIO CERVANTES,CIUDAD CAPITAL,ZONA 1,
00-01-0483-46,LICEO METROPOLITANO SAN GREGORIO,CIUDAD CAPITAL,ZONA 1,
00-01-0491-46,CENTRO DE ENSENANZA INTEGRAL SISTEMATIZADA CEIS,CIUDAD CAPITAL,ZONA 1,
00-01-0492-46,INSTITUTO AMERICANO DE COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-0493-46,INSTITUTO DIVERSIFICADO BILINGUE CIAV,CIUDAD CAPITAL,ZONA 1,
00-01-0495-46,INSTITUTO MODELO,CIUDAD CAPITAL,ZONA 1,
00-01-0642-46,LICEO TECNOLOGICO MAYA DE GUATEMALA III,CIUDAD CAPITAL,ZONA 1,
00-01-0656-46,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,CIUDAD CAPITAL,ZONA 1,
00-01-0712-46,LICEO SANTIAGO,CIUDAD CAPITAL,ZONA 1,
00-01-0719-46,COLEGIO MIXTO CRISTIANO GUATEMALTECO,CIUDAD CAPITAL,ZONA 1,
00-01-0772-46,LICEO TECNOLOGICO MAYA DE GUATEMALA,CIUDAD CAPITAL,ZONA 1,
00-01-0982-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ESCUELA EXPERIMENTAL DE APLICACION MIRON MUNOZ,CIUDAD CAPITAL,ZONA 1,
00-01-2462-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,CIUDAD CAPITAL,ZONA 1,
00-01-2464-46,INSTITUTO MIXTO RAFAEL LANDIVAR Y CABALLERO,CIUDAD CAPITAL,ZONA 1,
00-01-2473-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO PREUNIVERSITARIO DE COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-2474-46,INSTITUTO PRIVADO SUPERACION,CIUDAD CAPITAL,ZONA 1,
00-01-2799-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO EL PATRIARCA SAN JOSE,CIUDAD CAPITAL,ZONA 1,
00-01-2893-46,CENTRO DE ESTUDIOS Y SISTEMAS DE COMPUTACION C E S C,CIUDAD CAPITAL,ZONA 1,
00-01-2896-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO BROWN S,CIUDAD CAPITAL,ZONA 1,
00-01-2899-46,INSTITUTO PRIVADO DE BACHILLERATO POR MADUREZ PRACTICA COMERCIAL,CIUDAD CAPITAL,ZONA 1,
00-01-2902-46,INSTITUTO PROFESIONAL AMERICANO ROBERT GREGG,CIUDAD CAPITAL,ZONA 1,
00-01-2914-46,LICEO TECNICO EN COMPUTACION,CIUDAD CAPITAL,ZONA 1,
00-01-2952-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO BROWN S,CIUDAD CAPITAL,ZONA 1,
