NIVEL,conteo,columna,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DISTRITO,DEPARTAMENTAL
DIVERSIFICADO,11985,NIVEL,,,,,,,,
,10250,SECTOR,PRIVADO,,,,,,,
,1235,SECTOR,OFICIAL,,,,,,,
,314,SECTOR,COOPERATIVA,,,,,,,
,186,SECTOR,MUNICIPAL,,,,,,,
,9784,AREA,,URBANA,,,,,,
,2198,AREA,,RURAL,,,,,,
,3,AREA,,SIN ESPECIFICAR,,,,,,
,7101,STATUS,,,ABIERTA,,,,,
,2935,STATUS,,,CERRADA TEMPORALMENTE,,,,,
,1837,STATUS,,,CERRADA DEFINITIVAMENTE,,,,,
,109,STATUS,,,TEMPORAL TITULOS,,,,,
,3,STATUS,,,TEMPORAL NOMBRAMIENTO,,,,,
,11607,MODALIDAD,,,,MONOLINGUE,,,,
,378,MODALIDAD,,,,BILINGUE,,,,
,3976,JORNADA,,,,,DOBLE,,,
,3252,JORNADA,,,,,VESPERTINA,,,
,3087,JORNADA,,,,,MATUTINA,,,
,1116,JORNADA,,,,,SIN JORNADA,,,
,424,JORNADA,,,,,NOCTURNA,,,
,130,JORNADA,,,,,INTERMEDIA,,,
,7393,PLAN,,,,,,DIARIO REGULAR,,
,3049,PLAN,,,,,,FIN DE SEMANA,,
,574,PLAN,,,,,,SEMIPRESENCIAL FIN DE SEMANA,,
,436,PLAN,,,,,,SEMIPRESENCIAL UN DIA A LA SEMANA,,
,176,PLAN,,,,,,A DISTANCIA,,
,115,PLAN,,,,,,SEMIPRESENCIAL,,
,69,PLAN,,,,,,VIRTUAL A DISTANCIA,,
,67,PLAN,,,,,,SABATINO,,
,64,PLAN,,,,,,SEMIPRESENCIAL DOS DIAS A LA SEMANA,,
,34,PLAN,,,,,,DOMINICAL,,
,3,PLAN,,,,,,MIXTO,,
,3,PLAN,,,,,,IRREGULAR,,
,2,PLAN,,,,,,INTERCALADO,,
,527,DISTRITO,,,,,,,,
,369,DISTRITO,,,,,,,11 017,
,323,DISTRITO,,,,,,,01 403,
,192,DISTRITO,,,,,,,01 411,
,176,DISTRITO,,,,,,,05 033,
,132,DISTRITO,,,,,,,18 008,
,121,DISTRITO,,,,,,,14 036,
,118,DISTRITO,,,,,,,01 641,
,118,DISTRITO,,,,,,,05 007,
,111,DISTRITO,,,,,,,01 405,
,108,DISTRITO,,,,,,,10 019,
,106,DISTRITO,,,,,,,03 002,
,104,DISTRITO,,,,,,,18 039,
,103,DISTRITO,,,,,,,11 004,
,99,DISTRITO,,,,,,,13 004,
,91,DISTRITO,,,,,,,01 639,
,87,DISTRITO,,,,,,,01 101,
,86,DISTRITO,,,,,,,16 031,
,84,DISTRITO,,,,,,,19 019,
,82,DISTRITO,,,,,,,01 409,
,81,DISTRITO,,,,,,,21 004,
,78,DISTRITO,,,,,,,01 603,
,75,DISTRITO,,,,,,,01 301,
,74,DISTRITO,,,,,,,14 054,
,74,DISTRITO,,,,,,,10 018,
,70,DISTRITO,,,,,,,11 018,
,68,DISTRITO,,,,,,,01 312,
,66,DISTRITO,,,,,,,01,
,62,DISTRITO,,,,,,,05 027,
,61,DISTRITO,,,,,,,13 050,
,60,DISTRITO,,,,,,,03 007,
,60,DISTRITO,,,,,,,12 133,
,59,DISTRITO,,,,,,,01 210,
,59,DISTRITO,,,,,,,01 317,
,59,DISTRITO,,,,,,,09 041,
,59,DISTRITO,,,,,,,01 620,
,57,DISTRITO,,,,,,,09 006,
,57,DISTRITO,,,,,,,03 005,
,55,DISTRITO,,,,,,,05 015,
,53,DISTRITO,,,,,,,01 619,
,53,DISTRITO,,,,,,,01 627,
